epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2873.54,0.99491,1.27879,1.09784,0.52228,0.52836,0.50515,0.33016,1.10772,1.4721,1.1862,0.000742625,0.000742625,0.000742625
43,2941.33,0.98018,1.20844,1.08852,0.5261,0.51982,0.52907,0.34673,1.09054,1.5112,1.17163,0.00073025,0.00073025,0.00073025
44,3009.51,0.99608,1.19748,1.08669,0.57217,0.5684,0.56706,0.38168,1.08853,1.34757,1.16829,0.000717875,0.000717875,0.000717875
45,3078.35,0.99789,1.19883,1.0876,0.4658,0.51486,0.49493,0.3233,1.12188,1.4405,1.19604,0.0007055,0.0007055,0.0007055
46,3146.4,0.95103,1.17315,1.0773,0.53004,0.48626,0.50837,0.32695,1.14461,1.43103,1.23467,0.000693125,0.000693125,0.000693125
47,3214.41,0.95436,1.20901,1.06737,0.50323,0.51482,0.49202,0.31907,1.13916,1.54327,1.21337,0.00068075,0.00068075,0.00068075
48,3282.61,0.95591,1.13892,1.06887,0.56521,0.54849,0.53366,0.36472,1.0714,1.38388,1.17457,0.000668375,0.000668375,0.000668375
49,3350.78,0.94267,1.15529,1.07887,0.49244,0.58037,0.53497,0.35927,1.0655,1.46349,1.15783,0.000656,0.000656,0.000656
50,3418.82,0.9439,1.1156,1.06485,0.51723,0.54508,0.52053,0.35216,1.08763,1.45198,1.17858,0.000643625,0.000643625,0.000643625
51,3487.04,0.94755,1.1486,1.07997,0.49729,0.51747,0.51893,0.33996,1.1196,1.36877,1.20247,0.00063125,0.00063125,0.00063125
52,3555.35,0.91872,1.1103,1.04774,0.51624,0.49216,0.49521,0.33073,1.09809,1.51305,1.19096,0.000618875,0.000618875,0.000618875
53,3623.56,0.92997,1.09538,1.04301,0.52815,0.54617,0.54172,0.36412,1.08196,1.34929,1.18194,0.0006065,0.0006065,0.0006065
54,3691.67,0.92632,1.0877,1.05943,0.46224,0.59064,0.51375,0.33916,1.07408,1.37085,1.1767,0.000594125,0.000594125,0.000594125
55,3759.93,0.89196,1.04895,1.04168,0.56913,0.51836,0.53042,0.35658,1.11996,1.45775,1.21355,0.00058175,0.00058175,0.00058175
56,3827.95,0.90011,1.06603,1.04051,0.52292,0.52947,0.52179,0.35392,1.07623,1.35454,1.17737,0.000569375,0.000569375,0.000569375
57,3896.15,0.87587,1.04909,1.03997,0.58836,0.51983,0.55808,0.38353,1.07873,1.46732,1.18875,0.000557,0.000557,0.000557
58,3964.7,0.88445,1.01756,1.02312,0.55049,0.57869,0.56375,0.37416,1.07518,1.41408,1.1919,0.000544625,0.000544625,0.000544625
59,4032.75,0.88148,0.9891,1.03498,0.49032,0.56858,0.53862,0.3704,1.06834,1.43246,1.18069,0.00053225,0.00053225,0.00053225
60,4100.93,0.87909,0.98056,1.0261,0.58307,0.52781,0.53382,0.37065,1.06358,1.38496,1.17275,0.000519875,0.000519875,0.000519875
61,4169.12,0.87858,1.0048,1.0256,0.49088,0.61186,0.53584,0.3605,1.09195,1.39546,1.18967,0.0005075,0.0005075,0.0005075
62,4237.02,0.8621,0.97593,1.02155,0.54019,0.49849,0.52656,0.3548,1.08159,1.38785,1.18377,0.000495125,0.000495125,0.000495125
63,4305.05,0.86214,0.98267,1.01577,0.55093,0.52165,0.5219,0.34172,1.12125,1.60766,1.21499,0.00048275,0.00048275,0.00048275
64,4373.25,0.84686,0.92113,1.00245,0.48925,0.53559,0.50933,0.33754,1.10312,1.55076,1.2007,0.000470375,0.000470375,0.000470375
65,4441.19,0.86529,0.95356,1.0243,0.50486,0.55923,0.51628,0.35272,1.08243,1.5157,1.1899,0.000458,0.000458,0.000458
66,4509.13,0.8523,0.92737,1.01175,0.62966,0.46991,0.53808,0.36864,1.08323,1.60563,1.18379,0.000445625,0.000445625,0.000445625
67,4577.32,0.84335,0.87556,1.00845,0.51741,0.52989,0.53548,0.36467,1.08006,1.60097,1.18589,0.00043325,0.00043325,0.00043325
68,4645.37,0.83569,0.88518,1.00404,0.50538,0.50338,0.48611,0.32492,1.1143,1.81622,1.20829,0.000420875,0.000420875,0.000420875
69,4713.2,0.82657,0.86188,1.00083,0.51157,0.47817,0.50665,0.33677,1.10574,1.82812,1.21165,0.0004085,0.0004085,0.0004085
70,4781.33,0.79819,0.83299,0.99426,0.4862,0.52601,0.50788,0.33821,1.09029,1.7143,1.19668,0.000396125,0.000396125,0.000396125
71,4849.52,0.81992,0.80657,0.98738,0.59242,0.47931,0.51564,0.34449,1.08102,1.82752,1.18568,0.00038375,0.00038375,0.00038375
72,4917.67,0.79705,0.80294,0.98944,0.56133,0.53265,0.49576,0.32542,1.10967,1.69663,1.20523,0.000371375,0.000371375,0.000371375
73,4985.67,0.81332,0.79383,1.00351,0.61133,0.49182,0.51433,0.35252,1.08418,1.61394,1.20005,0.000359,0.000359,0.000359
74,5053.54,0.79172,0.81283,0.99309,0.52841,0.53419,0.50475,0.34121,1.10105,1.83484,1.20469,0.000346625,0.000346625,0.000346625
75,5121.65,0.78368,0.74073,0.98329,0.50428,0.52874,0.48486,0.32982,1.082,1.89742,1.19047,0.00033425,0.00033425,0.00033425
